run_id,episode,reward
1,1,292.7180713266133
1,2,280.5189980059861
1,3,261.51521595045915
1,4,270.90928846001617
1,5,283.199929909408
2,1,-2.989132162928591
2,2,191.77203514575956
2,3,227.4132300078868
2,4,218.4549401521682
2,5,167.89016613289706
3,1,185.26537334397426
3,2,273.0181577220559
3,3,192.4386327594518
3,4,332.82127526253447
3,5,28.23538828194141
4,1,230.23022028505792
4,2,247.40470804572095
4,3,241.63243585526934
4,4,253.73480944037428
4,5,246.65254410505287
5,1,293.1116396911441
5,2,304.16482696533194
5,3,352.69206872880443
5,4,281.11561936140055
5,5,266.31048169210544
6,1,200.62150383368132
6,2,322.988512765616
6,3,276.23780585229395
6,4,208.7093919932841
6,5,328.0367084532974
7,1,234.28320894762868
7,2,197.3870388105511
7,3,273.0611842587589
7,4,240.73517595380537
7,5,301.77844313830127
8,1,292.2901353605091
8,2,294.65186966583116
8,3,235.79621263742436
8,4,206.1272380717098
8,5,321.7458020105957
9,1,240.88767029941073
9,2,181.07202348336577
9,3,246.37549147680392
9,4,250.78405072838055
9,5,234.8985813885926
10,1,219.14384882524604
10,2,242.81841154545535
10,3,232.79198157340278
10,4,177.79913964495057
10,5,278.1810523569583
11,1,195.93479949533932
11,2,-78.12753700092436
11,3,224.40924422591917
11,4,233.1486100777983
11,5,-119.69660994224252
12,1,290.7031013302505
12,2,-83.03689155839385
12,3,244.26669062674034
12,4,320.12697971761213
12,5,193.59022708386175
13,1,295.957768870145
13,2,-36.749715751409525
13,3,276.86254529356944
13,4,-7.703504201769832
13,5,-46.516953438520446
14,1,237.12410163655866
14,2,252.89095447361458
14,3,264.9988989777862
14,4,257.44009175151575
14,5,171.94867723919447
15,1,141.7562932323664
15,2,260.7020654127001
15,3,313.71225028336033
15,4,222.90592629984016
15,5,315.74943357408034
16,1,-50.55446329154074
16,2,294.5528870478272
16,3,311.747146873176
16,4,301.9898181021212
16,5,290.45357896536575
